"name","class","spec","realm","region","guild","faction","zone","encounter","duration","percentile","dps","ilvl","encounter_id","character_id","date","zone_id","report_id","report_fight_id","guild_id"
Heliar,Shaman,Enhancement,faerlina,us,INSS,horde,Trial of the Crusader,Twin Val'kyr,165.261,55.545197,13965.516,245,641,76449279,2023-09-14 00:39:14.046,1018,Vdk9PZQ3RGFCyAzv,9,707072
Heliar,Shaman,Enhancement,faerlina,us,INSS,horde,Trial of the Crusader,Anub'arak,288.657,55.27753,9025.096,246,645,76449279,2023-09-29 01:35:21.953,1018,ArXp4wy29cfbPM1z,23,707072
Infelizmente,Rogue,Combat,faerlina,us,INSS,horde,Trial of the Crusader,The Northrend Beasts,325.185,38.877502,7594.4644,246,629,75820701,2023-10-04 23:25:48.704,1018,n1gR37fcFAD49tLZ,2,707072
Jesüino,Rogue,Assassination,faerlina,us,INSS,horde,Trial of the Crusader,Lord Jaraxxus,168.852,71.161064,9923.75,251,633,75663622,2023-10-04 23:34:43.520,1018,n1gR37fcFAD49tLZ,3,707072
Firexplosion,Mage,Fire,benediction,us,É Foda Bê,alliance,Trial of the Crusader,Lord Jaraxxus,201.316,36.002357,10778.701,238,633,72605818,2023-09-15 00:11:59.631,1018,MhYmz2Fg7anVk6H3,3,641689
Leenee,Paladin,Retribution,faerlina,us,DAMNATlON,horde,Trial of the Crusader,Lord Jaraxxus,129.253,86.372696,11245.781,244,633,73906563,2023-09-06 00:08:01.111,1018,kLXKP2xwT8pRmcYt,3,702370
Leenee,Paladin,Retribution,faerlina,us,DAMNATlON,horde,Trial of the Crusader,Twin Val'kyr,145.964,80.80742,15752.028,244,641,73906563,2023-09-06 00:18:53.353,1018,kLXKP2xwT8pRmcYt,6,702370
Krammash,Shaman,Enhancement,faerlina,us,CORE B,horde,Trial of the Crusader,The Northrend Beasts,366.405,38.642036,7081.8564,243,629,42024894,2023-10-05 00:28:09.528,1018,WJwN68BVTHg23rQm,4,708067
Krammash,Shaman,Enhancement,faerlina,us,CORE B,horde,Trial of the Crusader,Lord Jaraxxus,182.369,24.829199,8471.764,243,633,42024894,2023-09-28 00:45:46.743,1018,"7YDnHfmAChaGq48L",3,708067
Krammash,Shaman,Enhancement,faerlina,us,CORE B,horde,Trial of the Crusader,Twin Val'kyr,175.895,33.868725,12523.778,243,641,42024894,2023-09-28 01:10:31.333,1018,"7YDnHfmAChaGq48L",7,708067
Krammash,Shaman,Enhancement,faerlina,us,CORE B,horde,Trial of the Crusader,Anub'arak,303.3,27.724115,8332.238,243,645,42024894,2023-09-28 02:33:25.775,1018,"7YDnHfmAChaGq48L",12,708067
