"id","guild","title","date","realm","region","faction"
mZ4GfrQhRyTYwBtJ,Wipe Insano,Ony 10 W.I.,2023-08-10 21:22:31.185,benediction,us,alliance
KX6TAJqpBMGcbwtD,Wipe Insano,ToGC 10 W.I.,2023-08-10 20:34:46.391,benediction,us,alliance
zw3n1TNpgD2XhatY,Toxic Behavior,TOGC + ULD 25,2023-08-22 20:55:23.684,benediction,us,alliance
CxYQRgvzKNyWDfBj,Toxic Behavior,ulduar 10 eterna,2023-08-19 15:58:39.950,benediction,us,alliance
XgKNkHbMxAD4BGFC,Toxic Behavior,ONYXYA 25,2023-08-19 00:34:05.402,benediction,us,alliance
YZBjrQRf9AcFh7nt,Toxic Behavior,togc 25 full normal,2023-08-17 20:56:39.929,benediction,us,alliance
hjNvZa8Hz6JRb4d3,Toxic Behavior,togc 10,2023-08-16 21:49:17.892,benediction,us,alliance
YXN8QkF7VG9ZMnry,Toxic Behavior,resto de ulduar,2023-08-16 20:56:37.858,benediction,us,alliance
CdnAPGMJVXHkTFhj,Toxic Behavior,togc + ulduar 25,2023-08-15 20:42:44.866,benediction,us,alliance
yxAaM62r7QdhwCng,Toxic Behavior,togc 25,2023-08-09 22:03:56.443,benediction,us,alliance
RV7TFpj6MayLfXBn,Toxic Behavior,togc 25,2023-08-09 22:03:56.443,benediction,us,alliance
"9HBRYGCrywcXaD26",CORE B,Trial of the Crusader,2023-08-22 20:50:40.665,faerlina,us,horde
"7pPMNXrVawftKgcn",CORE B,Trial of the Crusader,2023-08-17 20:28:42.858,faerlina,us,horde
bfk37NAMzQpwv8yF,CORE B,Ulduar,2023-08-16 21:14:30.262,faerlina,us,horde
nwaCfxAyND46kY2F,CORE B,Ulduar,2023-08-16 21:14:30.262,faerlina,us,horde
xAjdXGg6C7zQL1bB,CORE B,Unknown Zone,2023-08-16 22:58:58.737,faerlina,us,horde
Y9f8Zc7NpA461yKV,CORE B,Trial of the Crusader,2023-08-11 22:39:12.528,faerlina,us,horde
qTny3GpRa2xw8rhK,U P D A T I N G,Trial of the Crusader,2023-08-20 15:07:18.115,faerlina,us,horde
vBT3jPCDN9MrfkmV,U P D A T I N G,Trial of the Crusader,2023-08-20 16:03:40.790,faerlina,us,horde
m4xt6vNhqyBMf8ZR,U P D A T I N G,Trial of the Crusader,2023-08-19 13:45:44.640,faerlina,us,horde
TdXx4NBnAJCwypPh,U P D A T I N G,Trial of the Crusader,2023-08-15 20:13:27.305,faerlina,us,horde
brBk4xV8nKQmCYJP,U P D A T I N G,Trial of the Crusader,2023-08-15 19:05:48.821,faerlina,us,horde
C47ZpGKB1PWwXFaM,U P D A T I N G,Trial of the Crusader,2023-08-12 13:58:36.589,faerlina,us,horde
QBgC4XqRf8xHDdW1,U P D A T I N G,Trial of the Crusader,2023-08-09 19:52:23.615,faerlina,us,horde
HJzyKPTt2hfgvZ3x,U P D A T I N G,Trial of the Crusader,2023-08-09 20:30:28.967,faerlina,us,horde
"4P1nrxz3ajMLNAV7",Confia,"25",2023-08-21 20:14:34.470,faerlina,us,horde
Xz7mcNQTrG6j1Rnq,Confia,Trial of the Crusader,2023-08-19 20:40:17.624,faerlina,us,horde
Argfqn1yhKbCGmka,Confia,Trial of the Crusader,2023-08-19 20:06:14.480,faerlina,us,horde
mPXQAbfZck1GFwtv,Confia,ToGC25,2023-08-16 20:23:13.452,faerlina,us,horde
pxdMhNCc8HtXmgJQ,Confia,Anub25,2023-08-14 20:21:41.612,faerlina,us,horde
JW6t7yRMaQdfCcPX,Confia,ToGC25,2023-08-09 20:21:33.191,faerlina,us,horde
LYXHB46pmjtdVAGF,Teleton,Naxx / Sarth / Maly,2023-08-23 00:08:56.631,faerlina,us,horde
t2Zz6M3JXnm4RGyY,Teleton,Trial of the Crusader,2023-08-22 20:29:14.154,faerlina,us,horde
qmn3GR7DMPvpZKAz,Teleton,Trial of the Crusader,2023-08-22 19:58:35.161,faerlina,us,horde
GhYqHf4vaBNXTrpF,Teleton,Trial of the Crusader,2023-08-22 19:56:04.833,faerlina,us,horde
T4tr6PHKfMYpwvCJ,Teleton,Ulduar,2023-08-20 19:56:26.042,faerlina,us,horde
aPB6mxgXJ7czd9qC,Teleton,Trial of the Crusader,2023-08-19 16:03:27.162,faerlina,us,horde
YxafAvWdLCtZhKVr,Teleton,Trial of the Crusader,2023-08-19 15:12:03.140,faerlina,us,horde
gfKYzXZ7qH6JbAcd,Teleton,Ulduar,2023-08-18 21:45:51.222,faerlina,us,horde
jbG7nNh1R6Ddtakp,Teleton,Unknown Zone,2023-08-18 21:33:08.619,faerlina,us,horde
